PLAYER,OverseasIndian,TYPE,Played For Country,Predicted Price,Selling Price,Base Price,Performance
Tanush Kotian,Indian,All-Rounder,0.0,2107373.0,0.0,2000000.0,23.0679205
Manvanth Kumar,Indian,All-Rounder,0.0,2100412.8,0.0,2000000.0,23.0679205
Saurabh Kumar,Indian,All-Rounder,0.0,2113173.0,0.0,2000000.0,23.0679205
Dev Lakra,Indian,All-Rounder,0.0,2101572.5,0.0,2000000.0,23.0679205
Nasir Lone,Indian,All-Rounder,0.0,2109954.2,0.0,2000000.0,23.0679205
Kaushik Maity,Indian,All-Rounder,0.0,2106213.0,0.0,2000000.0,23.0679205
Divij Mehra,Indian,All-Rounder,0.0,2102733.0,0.0,2000000.0,23.0679205
Mani Sankar Mura Singh,Indian,All-Rounder,0.0,2109954.2,0.0,2000000.0,23.0679205
Sanjay Pahal,Indian,All-Rounder,0.0,2113173.0,0.0,2000000.0,23.0679205
Jitender Pal,Indian,All-Rounder,0.0,2109954.2,0.0,2000000.0,23.0679205
Saumy Pandey,Indian,All-Rounder,0.0,2100412.8,0.0,2000000.0,23.0679205
Ansh Patel,Indian,All-Rounder,0.0,9144016.0,0.0,2000000.0,48.058443
Sairaj Patil,Indian,All-Rounder,1.0,2796023.5,0.0,2000000.0,22.6894435
Pradosh Paul,Indian,All-Rounder,0.0,2105053.2,0.0,2000000.0,23.0679205
Shubham Singh Pundir,Indian,All-Rounder,0.0,2109954.2,0.0,2000000.0,23.0679205
Atal Rai,Indian,All-Rounder,0.0,2109954.2,0.0,2000000.0,23.0679205
Abhimanyusingh Rajput,Indian,All-Rounder,0.0,2109954.2,0.0,2000000.0,23.0679205
Mohit Rathee,Indian,All-Rounder,0.0,2263706.5,0.0,2000000.0,13.213640999999999
Ninad Rathva,Indian,All-Rounder,0.0,2106213.0,0.0,2000000.0,23.0679205
Rohit Rayudu,Indian,All-Rounder,0.0,2112013.2,0.0,2000000.0,23.0679205
Aniketh Reddy,Indian,All-Rounder,0.0,2502531.5,0.0,2000000.0,44.189305000000004
Mohit Redkar,Indian,All-Rounder,0.0,2105053.2,0.0,2000000.0,23.0679205
Akash Sengupta,Indian,All-Rounder,0.0,2105053.2,0.0,2000000.0,23.0679205
Suryansh Shedge,Indian,All-Rounder,0.0,2101572.5,0.0,2000000.0,23.0679205
Aradhya Shukla,Indian,All-Rounder,1.0,3291579.8,0.0,2000000.0,10.4376295
Utkarsh Singh,Indian,All-Rounder,0.0,2107373.0,0.0,2000000.0,23.0679205
Shashank Singh,Indian,All-Rounder,1.0,11522333.0,2000000.0,2000000.0,43.813015
Prenelan Subrayen,Overseas,All-Rounder,0.0,2124566.8,0.0,2000000.0,23.0679205
Ravi Teja,Indian,All-Rounder,0.0,2120133.5,0.0,2000000.0,23.0679205
Akash Vashisht,Indian,All-Rounder,0.0,2109954.2,0.0,2000000.0,23.0679205
Mohit Ahlawat,Indian,Wicket-Keeper,0.0,2113926.0,0.0,2000000.0,23.0679205
G. Ajitesh,Indian,Wicket-Keeper,0.0,2113026.8,0.0,2000000.0,23.0679205
L.R. Chethan,Indian,Wicket-Keeper,0.0,2108125.5,0.0,2000000.0,23.0679205
Gourav Choudhary,Indian,Wicket-Keeper,0.0,2113026.8,0.0,2000000.0,23.0679205
Harvik Desai,Indian,Wicket-Keeper,0.0,2109286.0,0.0,2000000.0,23.0679205
Shakir Gandhi,Indian,Wicket-Keeper,0.0,2109286.0,0.0,2000000.0,23.0679205
Sumit Ghadigaonkar,Indian,Wicket-Keeper,0.0,2117405.8,0.0,2000000.0,23.0679205
Baba Indrajith,Indian,Wicket-Keeper,0.0,2285968.5,0.0,2000000.0,17.613641
Bhagmender Lather,Indian,Wicket-Keeper,0.0,2111606.0,0.0,2000000.0,23.0679205
Anmol Malhotra,Indian,Wicket-Keeper,0.0,2113926.0,0.0,2000000.0,23.0679205
Darshan Misal,Indian,Wicket-Keeper,0.0,2117405.8,0.0,2000000.0,23.0679205
Nikhil Naik,Indian,Wicket-Keeper,0.0,2262930.0,0.0,2000000.0,18.360841
Prasad Pawar,Indian,Wicket-Keeper,0.0,2113926.0,0.0,2000000.0,23.0679205
Mahesh Pithiya,Indian,Wicket-Keeper,0.0,2106965.8,0.0,2000000.0,23.0679205
William Salzmann,Overseas,Wicket-Keeper,0.0,2116039.5,0.0,2000000.0,23.0679205
Bipin Saurabh,Indian,Wicket-Keeper,0.0,2109285.8,0.0,2000000.0,23.0679205
B.R. Sharath,Indian,Wicket-Keeper,0.0,2113026.8,0.0,2000000.0,23.0679205
K.L. Shrijith,Indian,Wicket-Keeper,0.0,2113026.8,0.0,2000000.0,23.0679205
Avneesh Sudha,Indian,Wicket-Keeper,0.0,2106965.8,0.0,2000000.0,23.0679205
Aditya Tare,Indian,Wicket-Keeper,0.0,2442599.8,0.0,2000000.0,30.311397
Nihal Ullal,Indian,Wicket-Keeper,0.0,2116246.0,0.0,2000000.0,23.0679205
K.M Asif,Indian,Bowler,0.0,3390081.8,0.0,2000000.0,19.455540999999997
Mohit Avasthi,Indian,Bowler,0.0,2122750.8,0.0,2000000.0,23.0679205
Ottneil Baartman,Overseas,Bowler,0.0,2129765.0,0.0,2000000.0,23.0679205
Basit Bashir,Indian,Bowler,0.0,2118371.2,0.0,2000000.0,23.0679205
Waseem Bashir,Indian,Bowler,0.0,2113470.2,0.0,2000000.0,23.0679205
Sachin Bhosale,Indian,Bowler,0.0,2115790.2,0.0,2000000.0,23.0679205
Devendra Singh Bora,Indian,Bowler,0.0,2113470.2,0.0,2000000.0,23.0679205
